BPL 2014-15 schedule Home vs Away format (time in GMT)
Saturday 16 August 2014 
15:00	Arsenal v Crystal Palace
15:00	Burnley v Chelsea
15:00	Leicester v Everton
15:00	Liverpool v Southampton
15:00	Man Utd v Swansea
15:00	Newcastle v Man City
15:00	QPR v Hull
15:00	Stoke v Aston Villa
15:00	West Brom v Sunderland
15:00	West Ham v Spurs

Saturday 23 August 2014 
15:00	Aston Villa v Newcastle
15:00	Chelsea v Leicester
15:00	Crystal Palace v West Ham
15:00	Everton v Arsenal
15:00	Hull v Stoke
15:00	Man City v Liverpool
15:00	Southampton v West Brom
15:00	Sunderland v Man Utd
15:00	Swansea v Burnley
15:00	Spurs v QPR

Saturday 30 August 2014 
15:00	Aston Villa v Hull
15:00	Burnley v Man Utd
15:00	Everton v Chelsea
15:00	Leicester v Arsenal
15:00	Man City v Stoke
15:00	Newcastle v Crystal Palace
15:00	QPR v Sunderland
15:00	Swansea v West Brom
15:00	Spurs v Liverpool
15:00	West Ham v Southampton

Saturday 13 September 2014 
15:00	Arsenal v Man City
15:00	Chelsea v Swansea
15:00	Crystal Palace v Burnley
15:00	Hull v West Ham
15:00	Liverpool v Aston Villa
15:00	Man Utd v QPR
15:00	Southampton v Newcastle
15:00	Stoke v Leicester
15:00	Sunderland v Spurs
15:00	West Brom v Everton

Saturday 20 September 2014 
15:00	Aston Villa v Arsenal
15:00	Burnley v Sunderland
15:00	Everton v Crystal Palace
15:00	Leicester v Man Utd
15:00	Man City v Chelsea
15:00	Newcastle v Hull
15:00	QPR v Stoke
15:00	Swansea v Southampton
15:00	Spurs v West Brom
15:00	West Ham v Liverpool

Saturday 27 September 2014 
15:00	Arsenal v Spurs
15:00	Chelsea v Aston Villa
15:00	Crystal Palace v Leicester
15:00	Hull v Man City
15:00	Liverpool v Everton
15:00	Man Utd v West Ham
15:00	Southampton v QPR
15:00	Stoke v Newcastle
15:00	Sunderland v Swansea
15:00	West Brom v Burnley

Saturday 4 October 2014 
15:00	Aston Villa v Man City
15:00	Chelsea v Arsenal
15:00	Hull v Crystal Palace
15:00	Leicester v Burnley
15:00	Liverpool v West Brom
15:00	Man Utd v Everton
15:00	Sunderland v Stoke
15:00	Swansea v Newcastle
15:00	Spurs v Southampton
15:00	West Ham v QPR

Saturday 18 October 2014 
15:00	Arsenal v Hull
15:00	Burnley v West Ham
15:00	Crystal Palace v Chelsea
15:00	Everton v Aston Villa
15:00	Man City v Spurs
15:00	Newcastle v Leicester
15:00	QPR v Liverpool
15:00	Southampton v Sunderland
15:00	Stoke v Swansea
15:00	West Brom v Man Utd

Saturday 25 October 2014 
15:00	Burnley v Everton
15:00	Liverpool v Hull
15:00	Man Utd v Chelsea
15:00	QPR v Aston Villa
15:00	Southampton v Stoke
15:00	Sunderland v Arsenal
15:00	Swansea v Leicester
15:00	Spurs v Newcastle
15:00	West Brom v Crystal Palace
15:00	West Ham v Man City

Saturday 1 November 2014 
15:00	Arsenal v Burnley
15:00	Aston Villa v Spurs
15:00	Chelsea v QPR
15:00	Crystal Palace v Sunderland
15:00	Everton v Swansea
15:00	Hull v Southampton
15:00	Leicester v West Brom
15:00	Man City v Man Utd
15:00	Newcastle v Liverpool
15:00	Stoke v West Ham

Saturday 8 November 2014 
15:00	Burnley v Hull
15:00	Liverpool v Chelsea
15:00	Man Utd v Crystal Palace
15:00	QPR v Man City
15:00	Southampton v Leicester
15:00	Sunderland v Everton
15:00	Swansea v Arsenal
15:00	Spurs v Stoke
15:00	West Brom v Newcastle
15:00	West Ham v Aston Villa

Saturday 22 November 2014 
15:00	Arsenal v Man Utd
15:00	Aston Villa v Southampton
15:00	Chelsea v West Brom
15:00	Crystal Palace v Liverpool
15:00	Everton v West Ham
15:00	Hull v Spurs
15:00	Leicester v Sunderland
15:00	Man City v Swansea
15:00	Newcastle v QPR
15:00	Stoke v Burnley

Saturday 29 November 2014 
15:00	Burnley v Aston Villa
15:00	Liverpool v Stoke
15:00	Man Utd v Hull
15:00	QPR v Leicester
15:00	Southampton v Man City
15:00	Sunderland v Chelsea
15:00	Swansea v Crystal Palace
15:00	Spurs v Everton
15:00	West Brom v Arsenal
15:00	West Ham v Newcastle

Tuesday 2 December 2014 
19:45	Arsenal v Southampton
19:45	Burnley v Newcastle
19:45	Leicester v Liverpool
19:45	Man Utd v Stoke
19:45	Swansea v QPR
20:00	Crystal Palace v Aston Villa
20:00	West Brom v West Ham

Wednesday 3 December 2014 
19:45	Chelsea v Spurs
19:45	Everton v Hull
19:45	Sunderland v Man City

Saturday 6 December 2014 
15:00	Aston Villa v Leicester
15:00	Hull v West Brom
15:00	Liverpool v Sunderland
15:00	Man City v Everton
15:00	Newcastle v Chelsea
15:00	QPR v Burnley
15:00	Southampton v Man Utd
15:00	Stoke v Arsenal
15:00	Spurs v Crystal Palace
15:00	West Ham v Swansea

Saturday 13 December 2014 
15:00	Arsenal v Newcastle
15:00	Burnley v Southampton
15:00	Chelsea v Hull
15:00	Crystal Palace v Stoke
15:00	Everton v QPR
15:00	Leicester v Man City
15:00	Man Utd v Liverpool
15:00	Sunderland v West Ham
15:00	Swansea v Spurs
15:00	West Brom v Aston Villa

Saturday 20 December 2014 
15:00	Aston Villa v Man Utd
15:00	Hull v Swansea
15:00	Liverpool v Arsenal
15:00	Man City v Crystal Palace
15:00	Newcastle v Sunderland
15:00	QPR v West Brom
15:00	Southampton v Everton
15:00	Stoke v Chelsea
15:00	Spurs v Burnley
15:00	West Ham v Leicester

Friday 26 December 2014 
15:00	Arsenal v QPR
15:00	Burnley v Liverpool
15:00	Chelsea v West Ham
15:00	Crystal Palace v Southampton
15:00	Everton v Stoke
15:00	Leicester v Spurs
15:00	Man Utd v Newcastle
15:00	Sunderland v Hull
15:00	Swansea v Aston Villa
15:00	West Brom v Man City

Sunday 28 December 2014 
15:00	Aston Villa v Sunderland
15:00	Hull v Leicester
15:00	Liverpool v Swansea
15:00	Man City v Burnley
15:00	Newcastle v Everton
15:00	QPR v Crystal Palace
15:00	Southampton v Chelsea
15:00	Stoke v West Brom
15:00	Spurs v Man Utd
15:00	West Ham v Arsenal

Thursday 1 January 2015 
15:00	Aston Villa v Crystal Palace
15:00	Hull v Everton
15:00	Liverpool v Leicester
15:00	Man City v Sunderland
15:00	Newcastle v Burnley
15:00	QPR v Swansea
15:00	Southampton v Arsenal
15:00	Stoke v Man Utd
15:00	Spurs v Chelsea
15:00	West Ham v West Brom

Saturday 10 January 2015 
15:00	Arsenal v Stoke
15:00	Burnley v QPR
15:00	Chelsea v Newcastle
15:00	Crystal Palace v Spurs
15:00	Everton v Man City
15:00	Leicester v Aston Villa
15:00	Man Utd v Southampton
15:00	Sunderland v Liverpool
15:00	Swansea v West Ham
15:00	West Brom v Hull

Saturday 17 January 2015 
15:00	Aston Villa v Liverpool
15:00	Burnley v Crystal Palace
15:00	Everton v West Brom
15:00	Leicester v Stoke
15:00	Man City v Arsenal
15:00	Newcastle v Southampton
15:00	QPR v Man Utd
15:00	Swansea v Chelsea
15:00	Spurs v Sunderland
15:00	West Ham v Hull

Saturday 31 January 2015 
15:00	Arsenal v Aston Villa
15:00	Chelsea v Man City
15:00	Crystal Palace v Everton
15:00	Hull v Newcastle
15:00	Liverpool v West Ham
15:00	Man Utd v Leicester
15:00	Southampton v Swansea
